Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407
湖北省	Hubei	0	6	7	7	7	12	15	19	24	25	25	25	28	31	32	42	44	47	80	90	116	166	215	295	396	520	633	817	1115	1439	1795	2222	2639	3441	3862	4774	5623	6639	7862	9128	10337	11788	13557	15299	16738	18854	20912	23200	26403	28895	31187	33757	36167	38556	40479	41966	43468	45011	46433	47585	49056	50298	51553	52943	54278	55094	55987	56883	57678	58381	58942	59432	59879	60323	60810	61201	61731	62098	62565	62882	63153	63326	63471	63612	63762	63945	64014	64073	64142
湖南省	Hunan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	8	16	22	35	56	91	119	159	186	213	263	312	352	389	430	467	501	542	578	638	670	704	721	751	779	793	820	841	853	876	892	913	933	946	959	965	979	988	995	998	1004	1009	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014	1014
吉林省	Jilin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	4	4	5	12	13	18	22	25	25	28	30	34	36	40	44	46	52	54	60	63	65	68	73	75	78	83	84	86	88	90	90	90	91	91	91	91	91	91	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92
江苏省	Jiangsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	5	6	7	8	13	26	38	43	51	72	84	94	131	137	160	190	226	263	296	325	352	387	411	427	458	463	494	506	519	529	536	555	565	580	588	601	610	618	622	627	628	630	630	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	631	632	632	633	633	633	633
江西省	Jiangxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	7	9	10	18	19	27	37	45	55	72	102	127	152	170	187	210	239	275	310	362	432	489	544	611	645	682	719	754	790	811	831	850	870	884	901	908	916	918	923	927	932	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	934	935	935	935	935	935	935	935	935	935	935
辽宁省	Liaoning	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	4	5	7	8	12	12	19	20	22	29	32	41	43	55	58	61	66	68	73	83	88	92	93	95	101	103	103	106	106	106	106	108	109	110	111	111	112	113	113	114	119	122	122	122	122	122	124	124	124	124	124	124	124	124	124	124	124	124	125	126	128	130	131
内蒙古自治区	Inner Mongoria IM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	4	4	5	5	5	5	5	6	6	6	7	8	8	9	11	16	22	26	30	34	35	38	43	46	51	51	54	59	63	65	65	68	70	70	70	71	71	71	71	71	73	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74	74
宁夏回族自治区	Ningxia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	13	13	14	22	24	24	27	33	33	35	42	42	44	48	48	57	58	61	65	68	68	69	69	69	69	69	69	71	71	71	71	71	72	72	72	73	73	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75
青海省	Qinghai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	5	9	11	11	13	13	13	15	16	16	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
山东省	Shandong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	5	6	7	13	18	31	38	50	63	71	80	98	111	139	164	175	193	215	238	270	293	311	325	343	357	381	390	411	431	455	497	511	576	602	625	637	647	703	721	733	739	740	741	743	746	746	747	748	749	750	751	752	752	752	752	752	752	753	753	753	753	754	755	755	755	755	755
山西省	Shanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	2	4	6	12	15	21	25	26	30	33	36	38	46	50	53	61	68	76	78	81	88	94	98	104	107	112	114	116	119	124	124	126	126	126	126	127	131	131	132	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133	133
陕西省	Shaanxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	6	11	17	20	26	31	36	42	49	53	64	74	79	89	105	117	140	153	162	175	186	194	197	200	207	209	216	218	222	224	226	226	227	227	227	232	232	232	232	232	233	236	237	237	239	239	239	240	240	242	242	242	242	242	242	242	242	244	245	245	246	246	246
