Region_CN	Region_EN	T20191231	T20200111	T20200112	T20200113	T20200114	T20200115	T20200116	T20200117	T20200118	T20200119	T20200120	T20200121	T20200122	T20200123	T20200124	T20200125	T20200126	T20200127	T20200128	T20200129	T20200130	T20200131	T20200201	T20200202	T20200203	T20200204	T20200205	T20200206	T20200207	T20200208	T20200209	T20200210	T20200211	T20200212	T20200213	T20200214	T20200215	T20200216	T20200217	T20200218	T20200219	T20200220	T20200221	T20200222	T20200223	T20200224	T20200225	T20200226	T20200227	T20200228	T20200229	T20200301	T20200302	T20200303	T20200304	T20200305	T20200306	T20200307	T20200308	T20200309	T20200310	T20200311	T20200312	T20200313	T20200314	T20200315	T20200316	T20200317	T20200318	T20200319	T20200320	T20200321	T20200322	T20200323	T20200324	T20200325	T20200326	T20200327	T20200328	T20200329	T20200330	T20200331	T20200401	T20200402	T20200403	T20200404	T20200405	T20200406	T20200407
鹤岗市	Hegang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
黑河市	Heihe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	5	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
衡水市	Hengshui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
衡阳市	Hengyang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	3	3	3	0	2	7	0	2	1	2	0	0	1	3	5	0	0	0	1	0	0	0	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
红河哈尼族彝族自治州	Honghe Hani and Yi Autonomous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	1	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
呼和浩特市	Hohhot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
呼伦贝尔市	Hulunbuir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
葫芦岛市	Huludao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1
湖州市	Huzhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1
怀化市	Huaihua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	1	7	1	0	0	6	0	5	2	2	2	2	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
淮安市	Huaian	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	0	0	5	2	8	7	0	4	2	1	3	1	7	0	4	0	5	0	2	0	1	4	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0
淮北市	Huaibei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	4	0	1	2	0	1	1	0	2	0	3	2	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
淮南市	Huainan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	2	0	0	0	1	1	0	3	1	2	0	1	0	3	0	2	1	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
黄冈市	Huanggang	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	2	0	-1	-1	3	1	11	10	5	9	11	10	6	37	32	52	90	59	89	77	107	105	122	103	118	90	125	134	132	119	101	92	96	93	78	52	89	83	63	66	54	56	45	14	16	27	21	15	10	8	12	6	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
黄南藏族自治州	Huangnan Tibetan Autonomous	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
黄山市	Huangshan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
黄石市	Huangshi	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	1	8	1	8	7	6	12	10	14	15	14	17	24	33	22	14	9	47	37	40	52	51	48	44	51	28	40	22	22	32	23	31	39	37	18	7	13	9	11	4	17	2	8	2	10	3	1	3	5	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
惠州市	Huizhou	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
鸡西市	Jixi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	9	4	2	2	5	2	1	1	1	3	4	1	0	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
吉安市	Ji'an	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	2	1	0	1	0	0	0	0	2	0	1	0	2	0	3	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
吉林市	Jilin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
济南市	Jinan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	0	4	0	0	0	2	3	1	1	4	2	0	0	0	1	0	1	3	3	0	4	1	1	2	0	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	0
济宁市	Jining	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	3	1	0	0	1	3	2	1	3	0	2	2	5	2	0	2	0	3	1	8	0	2	1	0	35	2	58	22	11	4	0	51	13	6	5	1	0	2	0	0	1	1	1	0	0	1	0	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	0
济源市	Jiyuan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0
佳木斯市	Jiamusi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	2	2	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
嘉兴市	Jaxing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	2	2	1	0	3	1	5	2	0	1	2	3	0	4	0	3	3	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1
嘉峪关市	Jiayuguan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	-1	0	-1
江门市	Jiangmen	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
焦作市	Jiaozuo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0
揭阳市	Jieyang	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
金昌市	Jinchang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	0	-1	0	-1
金华市	Jinhua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	2	1	0	4	2	1	3	4	1	0	0	0	6	0	3	3	1	2	0	0	0	4	7	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1
锦州市	Jinzhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1
